T (K),Cp (J/ mole K)
670.6706707,345.4481395
671.3713714,345.5771397
672.0720721,345.7059611
672.7727728,345.8346043
673.4734735,345.9630699
674.1741742,346.0913584
674.8748749,346.2194704
675.5755756,346.3474064
676.2762763,346.4751671
676.976977,346.6027528
677.6776777,346.7301643
678.3783784,346.8574019
679.0790791,346.9844663
679.7797798,347.111358
680.4804805,347.2380774
681.1811812,347.3646253
681.8818819,347.491002
682.5825826,347.6172081
683.2832833,347.7432441
683.983984,347.8691105
684.6846847,347.9948079
685.3853854,348.1203368
686.0860861,348.2456976
686.7867868,348.3708909
687.4874875,348.4959172
688.1881882,348.6207771
688.8888889,348.7454709
689.5895896,348.8699992
690.2902903,348.9943625
690.990991,349.1185613
691.6916917,349.2425961
692.3923924,349.3664674
693.0930931,349.4901757
693.7937938,349.6137214
694.4944945,349.737105
695.1951952,349.860327
695.8958959,349.983388
696.5965966,350.1062883
697.2972973,350.2290285
697.997998,350.351609
698.6986987,350.4740303
699.3993994,350.5962928
700.1001001,350.7183971
700.8008008,350.8403435
701.5015015,350.9621326
702.2022022,351.0837649
702.9029029,351.2052407
703.6036036,351.3265605
704.3043043,351.4477248
705.005005,351.568734
705.7057057,351.6895886
706.4064064,351.8102891
707.1071071,351.9308358
707.8078078,352.0512292
708.5085085,352.1714698
709.2092092,352.291558
709.9099099,352.4114943
710.6106106,352.531279
711.3113113,352.6509126
712.012012,352.7703955
712.7127127,352.8897282
713.4134134,353.0089112
714.1141141,353.1279447
714.8148148,353.2468293
715.5155155,353.3655653
716.2162162,353.4841533
716.9169169,353.6025935
717.6176176,353.7208865
718.3183183,353.8390326
719.019019,353.9570322
719.7197197,354.0748858
720.4204204,354.1925938
721.1211211,354.3101566
721.8218218,354.4275746
722.5225225,354.5448481
723.2232232,354.6619776
723.9239239,354.7789636
724.6246246,354.8958063
725.3253253,355.0125062
726.026026,355.1290637
726.7267267,355.2454792
727.4274274,355.361753
728.1281281,355.4778856
728.8288288,355.5938774
729.5295295,355.7097287
730.2302302,355.8254399
730.9309309,355.9410114
731.6316316,356.0564436
732.3323323,356.1717369
733.033033,356.2868916
733.7337337,356.4019081
734.4344344,356.5167869
735.1351351,356.6315282
735.8358358,356.7461325
736.5365365,356.8606
737.2372372,356.9749313
737.9379379,357.0891266
738.6386386,357.2031864
739.3393393,357.3171109
740.04004,357.4309006
740.7407407,357.5445558
741.4414414,357.6580768
742.1421421,357.7714641
742.8428428,357.884718
743.5435435,357.9978388
744.2442442,358.1108269
744.9449449,358.2236826
745.6456456,358.3364064
746.3463463,358.4489985
747.047047,358.5614593
747.7477477,358.6737891
748.4484484,358.7859884
749.1491491,358.8980573
749.8498498,359.0099964
750.5505506,359.1218059
751.2512513,359.2334861
751.951952,359.3450374
752.6526527,359.4564602
753.3533534,359.5677547
754.0540541,359.6789213
754.7547548,359.7899604
755.4554555,359.9008722
756.1561562,360.0116571
756.8568569,360.1223155
757.5575576,360.2328476
758.2582583,360.3432538
758.958959,360.4535344
759.6596597,360.5636897
760.3603604,360.6737201
761.0610611,360.7836259
761.7617618,360.8934073
762.4624625,361.0030648
763.1631632,361.1125986
763.8638639,361.222009
764.5645646,361.3312964
765.2652653,361.4404611
765.965966,361.5495033
766.6666667,361.6584235
767.3673674,361.7672219
768.0680681,361.8758987
768.7687688,361.9844545
769.4694695,362.0928893
770.1701702,362.2012035
770.8708709,362.3093976
771.5715716,362.4174716
772.2722723,362.525426
772.972973,362.633261
773.6736737,362.740977
774.3743744,362.8485742
775.0750751,362.9560529
775.7757758,363.0634135
776.4764765,363.1706562
777.1771772,363.2777813
777.8778779,363.3847891
778.5785786,363.49168
779.2792793,363.5984541
779.97998,363.7051118
780.6806807,363.8116534
781.3813814,363.9180791
782.0820821,364.0243892
782.7827828,364.1305841
783.4834835,364.236664
784.1841842,364.3426292
784.8848849,364.44848
785.5855856,364.5542166
786.2862863,364.6598393
786.986987,364.7653484
787.6876877,364.8707443
788.3883884,364.9760271
789.0890891,365.0811971
789.7897898,365.1862546
790.4904905,365.2911999
791.1911912,365.3960333
791.8918919,365.500755
792.5925926,365.6053652
793.2932933,365.7098644
793.993994,365.8142527
794.6946947,365.9185303
795.3953954,366.0226976
796.0960961,366.1267549
796.7967968,366.2307023
797.4974975,366.3345402
798.1981982,366.4382688
798.8988989,366.5418884
799.5995996,366.6453992
800.3003003,366.7488015
801.001001,366.8520956
801.7017017,366.9552817
802.4024024,367.05836
803.1031031,367.1613308
803.8038038,367.2641944
804.5045045,367.3669511
805.2052052,367.469601
805.9059059,367.5721444
806.6066066,367.6745817
807.3073073,367.7769129
808.008008,367.8791384
808.7087087,367.9812585
809.4094094,368.0832733
810.1101101,368.1851831
810.8108108,368.2869882
811.5115115,368.3886888
812.2122122,368.4902852
812.9129129,368.5917775
813.6136136,368.6931661
814.3143143,368.7944511
815.015015,368.8956329
815.7157157,368.9967116
816.4164164,369.0976875
817.1171171,369.1985608
817.8178178,369.2993318
818.5185185,369.4000007
819.2192192,369.5005677
819.9199199,369.601033
820.6206206,369.701397
821.3213213,369.8016598
822.022022,369.9018216
822.7227227,370.0018828
823.4234234,370.1018434
824.1241241,370.2017038
824.8248248,370.3014642
825.5255255,370.4011248
826.2262262,370.5006858
826.9269269,370.6001475
827.6276276,370.6995101
828.3283283,370.7987737
